StdInChIKey,SMILES,LogS,T,Source,Solvent,Solvent_SMILES,Smilesa,REF1,REF2,REF3,REF4,REF5
HHMCAJWVGYGUEF-UHFFFAOYSA-N,,-5.22,,ONSchallenge,water,O,FC(F)(F)c1cc([N+](=O)[O-])c(Oc2ccc([N+](=O)[O-])cc2)cc1,http://dx.doi.org/10.1021/ci800406y,,,,
HHOSMYBYIHNXNO-UHFFFAOYSA-N,,-5.05,,ONSchallenge,water,O,C(CCC(C)C)(C)(C)C,http://dx.doi.org/10.1021/ci800406y,,,,
HJUFTIJOISQSKQ-UHFFFAOYSA-N,,-4.69948,,ONSchallenge,water,O,O=C(OCC)NCCOc1ccc(Oc2ccccc2)cc1,http://pmep.cce.cornell.edu/profiles/extoxnet/dienochlor-glyphosate/fenoxycarb-ext.html,http://dx.doi.org/10.1021/ci800406y,,,
HKMTVMBEALTRRR-UHFFFAOYSA-N,,-6.679999,,ONSchallenge,water,O,c12c(ccc3c4c(cccc4)Cc13)cccc2,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
HKOOXMFOFWEVGF-UHFFFAOYSA-N,,0.07,,ONSchallenge,water,O,N(N)c1ccccc1,http://dx.doi.org/10.1021/ci800406y,,,,
HKPHPIREJKHECO-UHFFFAOYSA-N,,-4.1915,,ONSchallenge,water,O,ClCC(=O)N(COCCCC)c1c(CC)cccc1CC,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
HLQDGCWIOSOMDP-UHFFFAOYSA-N,,-7.160001,,ONSchallenge,water,O,Clc1c(Cl)c(Cl)cc(c1Cl)c1ccccc1,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
HLZKNKRTKFSKGZ-UHFFFAOYSA-N,,-6.105868,,ONSchallenge,water,O,OCCCCCCCCCCCCCC,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
HMIBKHHNXANVHR-UHFFFAOYSA-N,,-3.93,,ONSchallenge,water,O,S(C(=O)N(C)C)CCCCOc1ccccc1,http://dx.doi.org/10.1021/ci800406y,,,,
HMSWAIKSFDFLKN-UHFFFAOYSA-N,,-8.330032,,ONSchallenge,water,O,C(CCCCCCCCCCCCC)CCCCCCCCCCCC,http://dx.doi.org/10.1021/ci800406y,,,,
HNDVDQJCIGZPNO-YFKPBYRVSA-N,,-0.56543,,ONSchallenge,water,O,O=C(O)[C@@H](N)Cc1[nH]cnc1,,,,,
HNJBEVLQSNELDL-UHFFFAOYSA-N,,1.07,,ONSchallenge,water,O,O=C1NCCC1,http://dx.doi.org/10.1021/ci800406y,,,,
HOQADATXFBOEGG-UHFFFAOYSA-N,,-4.19,,ONSchallenge,water,O,S=P(OCC)(Oc1c(C(=O)OC(C)C)cccc1)NC(C)C,http://dx.doi.org/10.1021/ci800406y,,,,
HORNXRXVQWOLPJ-UHFFFAOYSA-N,,-0.7,,ONSchallenge,water,O,Clc1cc(O)ccc1,http://dx.doi.org/10.1021/ci800406y,,,,
HPQURZRDYMUHJI-UHFFFAOYSA-N,,-6.08,,ONSchallenge,water,O,C(CCC1CCCC1)CC,http://dx.doi.org/10.1021/ci800406y,,,,
HPXRVTGHNJAIIH-UHFFFAOYSA-N,,-0.44,,ONSchallenge,water,O,OC1CCCCC1,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
HPYNZHMRTTWQTB-UHFFFAOYSA-N,,0.38,,ONSchallenge,water,O,Cc1c(C)cccn1,http://dx.doi.org/10.1021/ci800406y,,,,
HRBKVYFZANMGRE-UHFFFAOYSA-N,,-4.82,,ONSchallenge,water,O,Clc1c(Cl)cc(Cl)c(OP(=S)(OC)OC)n1,http://dx.doi.org/10.1021/ci800406y,,,,
HRPVXLWXLXDGHG-UHFFFAOYSA-N,,0.970115,,ONSchallenge,water,O,O=C(N)C=C,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
HRVUKLBFRPWXPJ-UHFFFAOYSA-N,,-7.596665,,ONSchallenge,water,O,Clc1c(Cl)cc(Cl)c2Oc3c(Oc12)cccc3,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
HSFWRNGVRCDJHI-UHFFFAOYSA-N,,0.29,,ONSchallenge,water,O,C#C,http://dx.doi.org/10.1021/ci800406y,,,,
HUPFGZXOMWLGNK-UHFFFAOYSA-N,,-4.114,,ONSchallenge,water,O,Fc1c(c2cc(C(=O)O)c(O)cc2)ccc(F)c1,http://www.springerlink.com/content/um5p375020237780/,,,,
HUTDUHSNJYTCAR-UHFFFAOYSA-N,,-2.6,,ONSchallenge,water,O,O(C)c1ccc(C(O)(c2cncnc2)C2CC2)cc1,http://dx.doi.org/10.1021/ci800406y,,,,
HWHLPVGTWGOCJO-UHFFFAOYSA-N,,-1.815,,ONSchallenge,water,O,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,http://dx.doi.org/10.1021/ci800406y,,,,
HWWYDZCSSYKIAD-UHFFFAOYSA-N,,0.38,,ONSchallenge,water,O,Cc1cc(C)cnc1,http://dx.doi.org/10.1021/ci800406y,,,,
HYBBIBNJHNGZAN-UHFFFAOYSA-N,,-0.1,,ONSchallenge,water,O,O=Cc1occc1,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
HYIMSNHJOBLJNT-UHFFFAOYSA-N,,-4.63622,,ONSchallenge,water,O,O=[N+]([O-])c1c(C2C(=C(C)NC(=C2C(=O)OC)C)C(=O)OC)cccc1,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
HYJSGOXICXYZGS-UHFFFAOYSA-N,,-2.61,,ONSchallenge,water,O,Clc1c2n(CC(=O)O)c(=O)sc2ccc1,http://dx.doi.org/10.1021/ci800406y,,,,
HYVMOJOTZLNZPF-UHFFFAOYSA-N,,-3.671,,ONSchallenge,water,O,S(=O)(=O)(N)c1sc2C(=O)CCS(=O)(=O)c2c1,http://dx.doi.org/10.1021/ci800406y,,,,
HYWYRSMBCFDLJT-UHFFFAOYSA-N,,-4.489,,ONSchallenge,water,O,S(=O)(=O)(Nc1c(Oc2ccccc2)cc([N+](=O)[O-])cc1)C,http://dx.doi.org/10.1021/ci800406y,,,,
IAIWVQXQOWNYOU-UHFFFAOYSA-N,,-2.92,,ONSchallenge,water,O,O=[N+]([O-])c1oc(C=NNC(=O)N)cc1,http://dx.doi.org/10.1021/ci800406y,,,,
IAKOZHOLGAGEJT-UHFFFAOYSA-N,,-6.589107,,ONSchallenge,water,O,ClC(Cl)(Cl)C(c1ccc(OC)cc1)c1ccc(OC)cc1,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,
IDCPFAYURAQKDZ-UHFFFAOYSA-N,,-1.37,,ONSchallenge,water,O,O=[N+]([O-])NC(=N)N,http://dx.doi.org/10.1021/ci800406y,,,,
IDOWTHOLJBTAFI-UHFFFAOYSA-N,,-4.789885,,ONSchallenge,water,O,O=C(OC)Nc1cc(OC(=O)Nc2cc(C)ccc2)ccc1,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
IFEKQNAXDMZERW-UHFFFAOYSA-N,,-1.407,,ONSchallenge,water,O,O=C(O)C(N)Cc1n[nH]c2c1cccc2,http://dx.doi.org/10.1021/ci800406y,,,,
IFLREYGFSNHWGE-UHFFFAOYSA-N,,-8.59998,,ONSchallenge,water,O,c12c(cc3c(c1)cccc3)cc1c(c2)cccc1,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
IGEMDIAQXSOCKX-UHFFFAOYSA-N,,-3.027,,ONSchallenge,water,O,S(=O)(=O)(N)c1scc(S(=O)(=O)c2ccc(O)cc2)c1,http://dx.doi.org/10.1021/ci800406y,,,,
IIZIPXWXNPFUOU-UHFFFAOYSA-N,,-1.367,,ONSchallenge,water,O,O=C(N(CCO)CC)COC(=O)c1ccccc1,http://dx.doi.org/10.1021/ci800406y,,,,
IJFPVINAQGWBRJ-UHFFFAOYSA-N,,-6.639999,,ONSchallenge,water,O,O=C(OCCCCCC(C)C)c1c(C(=O)OCCCCCC(C)C)cccc1,http://dx.doi.org/10.1021/ci800406y,,,,
IKECULIHBUCAKR-UHFFFAOYSA-N,,-0.41,,ONSchallenge,water,O,OC(C(C)C)(C)C,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
IKZBNCORGKYEDZ-UHFFFAOYSA-N,,-5.269,,ONSchallenge,water,O,Fc1c(N2CC(N)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,http://dx.doi.org/10.1021/ci800406y,,,,
IMIDOCRTMDIQIJ-UHFFFAOYSA-N,,-2.36,,ONSchallenge,water,O,O=C(Oc1cc(C)c(N(C)C)cc1)NC,http://dx.doi.org/10.1021/ci800406y,,,,
IMMLSOUHQHJKTL-UHFFFAOYSA-N,,-1.45272,,ONSchallenge,water,O,ClC1=CC=CCC(=C1NC1C(=CC=CC=C1)CC(=O)OCC(=O)NC(C(=O)OC)C)Cl,http://sphinxsai.com/vol3.no2/pharm/pharmpdf/PT=35(841-851)AJ11.pdf,,,,
IMNFDUFMRHMDMM-UHFFFAOYSA-N,,-4.53,,ONSchallenge,water,O,C(CCC)CCC,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
IMONTRJLAWHYGT-UHFFFAOYSA-N,,-4.79,,ONSchallenge,water,O,O=C(OC1(C#C)C2(C)C(C3C(C4C(=CC(=O)CC4)CC3)CC2)CC1)C,http://dx.doi.org/10.1021/ci800406y,,,,
IMPKVMRTXBRHRB-UHFFFAOYSA-N,,-0.17,,ONSchallenge,water,O,OC1C(O)C(O)CC(O)C1O,http://dx.doi.org/10.1021/ci800406y,,,,
IMWQMZMZPWIQBE-UHFFFAOYSA-N,,-1.948,,ONSchallenge,water,O,O=C(NN=C(C=NNC(=O)N)C)N,http://dx.doi.org/10.1021/ci800406y,,,,
INWLQCZOYSRPNW-UHFFFAOYSA-N,,-1.55,,ONSchallenge,water,O,O=C(Nc1c(C)cccc1C)C1N(C)CCCC1,http://dx.doi.org/10.1021/ci800406y,,,,
IOUNQDKNJZEDEP-UHFFFAOYSA-N,,-5.23,,ONSchallenge,water,O,Clc1cc2oc(=O)n(CSP(=S)(OCC)OCC)c2cc1,http://dx.doi.org/10.1021/ci800406y,,,,
IPCSVZSSVZVIGE-UHFFFAOYSA-N,,-6.809999,,ONSchallenge,water,O,O=C(O)CCCCCCCCCCCCCCC,http://dx.doi.org/10.1021/ci800406y,,,,
IPEHBUMCGVEMRF-UHFFFAOYSA-N,,-0.74,,ONSchallenge,water,O,O=C(N)c1nccnc1,http://www.springerlink.com/content/um5p375020237780/,http://dx.doi.org/10.1021/ci800406y,,,
IQUPABOKLQSFBK-UHFFFAOYSA-N,,-1.74,,ONSchallenge,water,O,O=[N+]([O-])c1c(O)cccc1,http://dx.doi.org/10.1021/ci800406y,,,,
IRCMYGHHKLLGHV-UHFFFAOYSA-N,,-3.42,,ONSchallenge,water,O,S(=O)(=O)(Oc1cc2C(C)(C)C(OCC)Oc2cc1)C,http://dx.doi.org/10.1021/ci800406y,,,,
IRIAEXORFWYRCZ-UHFFFAOYSA-N,,-5.649453,,ONSchallenge,water,O,O=C(OCCCC)c1c(C(=O)OCc2ccccc2)cccc1,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,
ISEUFVQQFVOBCY-UHFFFAOYSA-N,,-2.48,,ONSchallenge,water,O,O(C)c1nc(NC(C)C)nc(NC(C)C)n1,http://dx.doi.org/10.1021/ci800406y,,,,
ISMYLNZMKJLINI-UHFFFAOYSA-N,,-2.86,,ONSchallenge,water,O,O=c1n(CC)c2c(n(CC)c3ncccc13)nccc2,http://dx.doi.org/10.1021/ci800406y,,,,
ISWSIDIOOBJBQZ-UHFFFAOYSA-N,,0.0,,ONSchallenge,water,O,Oc1ccccc1,http://dx.doi.org/10.1021/ci800406y,,,,
ITEQSCBLCCNACE-UHFFFAOYSA-N,,-0.85,,ONSchallenge,water,O,O=C(OC1=CC(=O)CC(C)(C)C1)N(C)C,http://dx.doi.org/10.1021/ci800406y,,,,
IUTPYMGCWINGEY-UHFFFAOYSA-N,,-7.39,,ONSchallenge,water,O,Clc1c(Cl)cc(c(Cl)c1)c1cc(Cl)c(Cl)cc1,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
IVUXTESCPZUGJC-UHFFFAOYSA-N,,-4.89,,ONSchallenge,water,O,Clc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
IWDCLRJOBJJRNH-UHFFFAOYSA-N,,-0.7,,ONSchallenge,water,O,Oc1ccc(C)cc1,http://dx.doi.org/10.1021/ci800406y,,,,
IWYDHOAUDWTVEP-UHFFFAOYSA-N,,0.050732,,ONSchallenge,water,O,O=C(O)C(O)c1ccccc1,http://www.chemspider.com/Chemical-Structure.1253.html,,,,
IYXGSMUGOJNHAZ-UHFFFAOYSA-N,,-0.82,,ONSchallenge,water,O,O=C(OCC)CC(=O)OCC,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
IZNWACYOILBFEG-UHFFFAOYSA-N,,-4.272,,ONSchallenge,water,O,O=[N+]([O-])c1c(C)ccc2c1cccc2,http://dx.doi.org/10.1021/ci800406y,,,,
JAYCNKDKIKZTAF-UHFFFAOYSA-N,,-5.27,,ONSchallenge,water,O,Clc1c(c2c(Cl)cccc2)cccc1,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
JBDOSUUXMYMWQH-UHFFFAOYSA-N,,-4.6,,ONSchallenge,water,O,S=C=Nc1c2c(ccc1)cccc2,http://dx.doi.org/10.1021/ci800406y,,,,
JFCQEDHGNNZCLN-UHFFFAOYSA-N,,1.0,,ONSchallenge,water,O,O=C(O)CCCC(=O)O,http://dx.doi.org/10.1021/ci800406y,,,,
JFNWFXVFBDDWCX-UHFFFAOYSA-N,,-3.59,,ONSchallenge,water,O,S(=O)(=O)(N(C(=O)C)c1c(C)c(C)no1)c1ccc(N)cc1,http://dx.doi.org/10.1021/ci800406y,,,,
JFSPBVWPKOEZCB-UHFFFAOYSA-N,,-3.3,,ONSchallenge,water,O,O=C(Nc1ccccc1)c1c(C)occ1,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
JHBKHLUZVFWLAG-UHFFFAOYSA-N,,-5.512673,,ONSchallenge,water,O,Clc1c(Cl)cc(Cl)c(Cl)c1,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
JHIVVAPYMSGYDF-UHFFFAOYSA-N,,-0.6,,ONSchallenge,water,O,O=C1CCCCC1,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
JHJOOSLFWRRSGU-UHFFFAOYSA-N,,-5.72,,ONSchallenge,water,O,Clc1c(Cl)cc(OP(=S)(OC)OC)c(Cl)c1,http://dx.doi.org/10.1021/ci800406y,,,,
JIEKMACRVQTPRC-UHFFFAOYSA-N,,-4.966,,ONSchallenge,water,O,Clc1ccc(c2c(CC(=O)O)sc(c3ccccc3)n2)cc1,http://dx.doi.org/10.1021/ci800406y,,,,
JIGUQPWFLRLWPJ-UHFFFAOYSA-N,,-0.74,,ONSchallenge,water,O,O=C(OCC)C=C,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
JIVPVXMEBJLZRO-UHFFFAOYSA-N,,-3.38927,,ONSchallenge,water,O,Clc1c(S(=O)(=O)N)cc(C2(O)NC(=O)c3c2cccc3)cc1,http://www.springerlink.com/content/um5p375020237780/,http://dx.doi.org/10.1021/ci800406y,,,
JJYPMNFTHPTTDI-UHFFFAOYSA-N,,-0.85,,ONSchallenge,water,O,Nc1cc(C)ccc1,http://dx.doi.org/10.1021/ci800406y,,,,
JLKIGFTWXXRPMT-UHFFFAOYSA-N,,-2.77844,,ONSchallenge,water,O,S(=O)(=O)(Nc1noc(C)c1)c1ccc(N)cc1,http://www.springerlink.com/content/um5p375020237780/,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,
JLRGJRBPOGGCBT-UHFFFAOYSA-N,,-3.39,,ONSchallenge,water,O,S(=O)(=O)(NC(=O)NCCCC)c1ccc(C)cc1,http://dx.doi.org/10.1021/ci800406y,,,,
JLYXXMFPNIAWKQ-UHFFFAOYSA-N,,-4.51,,ONSchallenge,water,O,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,http://dx.doi.org/10.1021/ci800406y,,,,
JMMWKPVZQRWMSS-UHFFFAOYSA-N,,-0.55,,ONSchallenge,water,O,O=C(OC(C)C)C,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
JOFWLTCLBGQGBO-UHFFFAOYSA-N,,-4.08,,ONSchallenge,water,O,Clc1c(C2=NCc3n(c(C)nn3)c3c2cc(Cl)cc3)cccc1,http://dx.doi.org/10.1021/ci800406y,,,,
JOMNTHCQHJPVAZ-UHFFFAOYSA-N,,0.74,,ONSchallenge,water,O,CC1NCCNC1,http://dx.doi.org/10.1021/ci800406y,,,,
JOYRKODLDBILNP-UHFFFAOYSA-N,,0.85,,ONSchallenge,water,O,O=C(OCC)N,http://dx.doi.org/10.1021/ci800406y,,,,
JPLCQHHISLYGRA-UHFFFAOYSA-N,,-2.138,,ONSchallenge,water,O,O=C(Nc1cnc(OC)cc1)C1CC1,http://dx.doi.org/10.1021/ci800406y,,,,
JQUIGGQYRQVIIE-UHFFFAOYSA-N,,-0.495,,ONSchallenge,water,O,O=C(N(C(=O)C)C)COC(=O)c1ccccc1,http://dx.doi.org/10.1021/ci800406y,,,,
JRZJOMJEPLMPRA-UHFFFAOYSA-N,,-5.05,,ONSchallenge,water,O,C(=C)CCCCCCC,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
JSZOAYXJRCEYSX-UHFFFAOYSA-N,,-0.8,,ONSchallenge,water,O,O=[N+]([O-])CCC,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
JTAGHJPZEDNHHA-UHFFFAOYSA-N,,-1.845,,ONSchallenge,water,O,O=C(NCCc1cc(OC)c(OC)cc1)CNc1cc(C(=O)NC)ccc1,http://dx.doi.org/10.1021/ci800406y,,,,
JTGMTYWYUZDRBK-UHFFFAOYSA-N,,-6.570001,,ONSchallenge,water,O,Cc1c2c(c(C)c3c1cccc3)cccc2,http://dx.doi.org/10.1021/ci800406y,,,,
JUHORIMYRDESRB-UHFFFAOYSA-N,,-1.206,,ONSchallenge,water,O,N(CCNCc1ccccc1)Cc1ccccc1,http://dx.doi.org/10.1021/ci800406y,,,,
JUJWROOIHBZHMG-UHFFFAOYSA-N,,0.76,,ONSchallenge,water,O,n1ccccc1,http://dx.doi.org/10.1021/ci800406y,,,,
JVPGYYNQTPWXGE-UHFFFAOYSA-N,,-4.353,,ONSchallenge,water,O,Cc1ccc(c2sc3c(n2)cccc3)cc1,http://dx.doi.org/10.1021/ci800406y,,,,
JVSWJIKNEAIKJW-UHFFFAOYSA-N,,-5.08,,ONSchallenge,water,O,C(CCCCC)(C)C,http://dx.doi.org/10.1021/ci800406y,,,,
JWBOIMRXGHLCPP-UHFFFAOYSA-N,,-6.509999,,ONSchallenge,water,O,ClC(Cl)C(c1c(Cl)cccc1)c1ccc(Cl)cc1,http://dx.doi.org/10.1021/ci800406y,,,,
JWUCHKBSVLQQCO-UHFFFAOYSA-N,,-3.37,,ONSchallenge,water,O,Fc1c(C(O)(Cn2ncnc2)c2ccc(F)cc2)cccc1,http://dx.doi.org/10.1021/ci800406y,,,,
JWUJQDFVADABEY-UHFFFAOYSA-N,,0.11,,ONSchallenge,water,O,CC1OCCC1,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
JWZZKOKVBUJMES-UHFFFAOYSA-N,,0.14,,ONSchallenge,water,O,OC(CNC(C)C)c1cc(O)c(O)cc1,http://dx.doi.org/10.1021/ci800406y,,,,
JXCGFZXSOMJFOA-UHFFFAOYSA-N,,-3.46,,ONSchallenge,water,O,Clc1c(C)ccc(NC(=O)N(C)C)c1,http://dx.doi.org/10.1021/ci800406y,,,,
JXSJBGJIGXNWCI-UHFFFAOYSA-N,,-3.36264,,ONSchallenge,water,O,S=P(SC(C(=O)OCC)CC(=O)OCC)(OC)OC,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,
JXVIIQLNUPXOII-UHFFFAOYSA-N,,-4.11,,ONSchallenge,water,O,O=C(Nc1ccccc1)NC1C(C)CCCC1,http://dx.doi.org/10.1021/ci800406y,,,,
JYFHYPJRHGVZDY-UHFFFAOYSA-N,,-1.087,,ONSchallenge,water,O,P(=O)(OCCCC)(OCCCC)O,http://dx.doi.org/10.1021/ci800406y,,,,
JYVLIDXNZAXMDK-UHFFFAOYSA-N,,-0.29,,ONSchallenge,water,O,OC(CCC)C,http://dx.doi.org/10.1021/ci800406y,,,,
JYYNAJVZFGKDEQ-UHFFFAOYSA-N,,0.38,,ONSchallenge,water,O,Cc1nccc(C)c1,http://dx.doi.org/10.1021/ci800406y,,,,
JZQKKSLKJUAGIC-UHFFFAOYSA-N,,-3.85453,,ONSchallenge,water,O,O(CC(O)CNC(C)C)c1c2c([nH]cc2)ccc1,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
JZUFKLXOESDKRF-UHFFFAOYSA-N,,-2.6939,,ONSchallenge,water,O,Clc1c(S(=O)(=O)N)cc2S(=O)(=O)NCNc2c1,http://www.springerlink.com/content/um5p375020237780/,http://dx.doi.org/10.1021/ci800406y,,,
JZUTXVTYJDCMDU-UHFFFAOYSA-N,,-4.11,,ONSchallenge,water,O,O(C)c1c(OC)ccc2C(C3N(C)CCc4c3cc3OCOc3c4)OC(=O)c12,http://dx.doi.org/10.1021/ci800406y,,,,
KAATUXNTWXVJKI-UHFFFAOYSA-N,,-8.019997,,ONSchallenge,water,O,ClC(=CC1C(C)(C)C1C(=O)OC(C#N)c1cc(Oc2ccccc2)ccc1)Cl,http://dx.doi.org/10.1021/ci800406y,,,,
KAESVJOAVNADME-UHFFFAOYSA-N,,-0.17,,ONSchallenge,water,O,[nH]1cccc1,http://dx.doi.org/10.1021/ci800406y,,,,
KANLOADZXMMCQA-UHFFFAOYSA-N,,-5.84,,ONSchallenge,water,O,Cc1cc2c(c3c(cc2)cccc3)cc1,http://dx.doi.org/10.1021/ci800406y,,,,
KDDQDUIBYASSFC-UHFFFAOYSA-N,,-4.21,,ONSchallenge,water,O,FC(F)(F)c1c2[nH]c(=O)c3c(n(CC)c2nc(C)c1)nccc3,http://dx.doi.org/10.1021/ci800406y,,,,
KDYFGRWQOYBRFD-UHFFFAOYSA-N,,-0.2,,ONSchallenge,water,O,O=C(O)CCC(=O)O,http://dx.doi.org/10.1021/ci800406y,,,,
KENZYIHFBRWMOD-UHFFFAOYSA-N,,-7.250001,,ONSchallenge,water,O,Clc1c(Cl)ccc(c2c(Cl)ccc(Cl)c2)c1,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
KFIRODWJCYBBHY-UHFFFAOYSA-N,,-1.00776,,ONSchallenge,water,O,O=[N+]([O-])c1c(C(=O)O)c(C(=O)O)ccc1,http://goo.gl/J0JLC,,,,
KFNNIILCVOLYIR-UHFFFAOYSA-N,,-0.49,,ONSchallenge,water,O,O=COCCC,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
KFZMGEQAYNKOFK-UHFFFAOYSA-N,,0.43,,ONSchallenge,water,O,OC(C)C,http://dx.doi.org/10.1021/ci800406y,,,,
KGVPNLBXJKTABS-UHFFFAOYSA-N,,-0.07,,ONSchallenge,water,O,Oc1noc(C)c1,http://dx.doi.org/10.1021/ci800406y,,,,
KHBQMWCZKVMBLN-UHFFFAOYSA-N,,-1.56,,ONSchallenge,water,O,S(=O)(=O)(N)c1ccccc1,http://dx.doi.org/10.1021/ci800406y,,,,
KHNYNFUTFKJLDD-UHFFFAOYSA-N,,-8.0,,ONSchallenge,water,O,c12c3cccc1c1c4c(ccc1c2ccc3)cccc4,http://dx.doi.org/10.1021/ci800406y,,,,
KIEDNEWSYUYDSN-UHFFFAOYSA-N,,-2.34,,ONSchallenge,water,O,Clc1c(CN2C(=O)C(C)(C)CO2)cccc1,http://dx.doi.org/10.1021/ci800406y,,,,
KIGQVWWOESIMBG-UHFFFAOYSA-N,,0.46,,ONSchallenge,water,O,O=C(O)CN(CCC#N)CCC#N,http://dx.doi.org/10.1021/ci800406y,,,,
KIVUHCNVDWYUNP-UHFFFAOYSA-N,,-6.2,,ONSchallenge,water,O,Nc1c2c(c3c(c4c(cc3)cccc4)c1)cccc2,http://dx.doi.org/10.1021/ci800406y,,,,
KIWUVOGUEXMXSV-UHFFFAOYSA-N,,-1.77,,ONSchallenge,water,O,S=C1SCC(=O)N1,http://dx.doi.org/10.1021/ci800406y,,,,
KJONHKAYOJNZEC-UHFFFAOYSA-N,,-3.79244,,ONSchallenge,water,O,O=[N+]([O-])c1cc2C(=NCC(=O)Nc2cc1)c1ccccc1,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
KJVQYDYPDFFJMP-UHFFFAOYSA-N,,-2.909,,ONSchallenge,water,O,S(=O)(=O)(Nc1scc(C)n1)c1ccc(N)cc1,http://dx.doi.org/10.1021/ci800406y,,,,
KMAQZIILEGKYQZ-UHFFFAOYSA-N,,-2.77,,ONSchallenge,water,O,Clc1cc([N+](=O)[O-])ccc1,http://dx.doi.org/10.1021/ci800406y,,,,
KMRNTNDWADEIIX-UHFFFAOYSA-N,,-0.43,,ONSchallenge,water,O,ICCC(=O)O,http://dx.doi.org/10.1021/ci800406y,,,,
KNAHARQHSZJURB-UHFFFAOYSA-N,,-2.15,,ONSchallenge,water,O,S=c1[nH]c(=O)cc(CCC)[nH]1,http://dx.doi.org/10.1021/ci800406y,,,,
KOCYTWBTXZOUFS-UHFFFAOYSA-N,,0.06,,ONSchallenge,water,O,Cc1nc2ncncc2nc1,http://dx.doi.org/10.1021/ci800406y,,,,
KPQZUUQMTUIKBP-UHFFFAOYSA-N,,-0.737,,ONSchallenge,water,O,O=[N+]([O-])c1n(CC(O)C)c(C)nc1,http://dx.doi.org/10.1021/ci800406y,,,,
KPSSIOMAKSHJJG-UHFFFAOYSA-N,,-0.4,,ONSchallenge,water,O,OCC(C)(C)C,http://dx.doi.org/10.1021/ci800406y,,,,
KQBFUDNJKCZEDQ-UHFFFAOYSA-N,,-7.919987,,ONSchallenge,water,O,Clc1c(Cl)c(Cl)cc(Cl)c1c1c(Cl)cc(Cl)c(Cl)c1,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
KQNPFQTWMSNSAP-UHFFFAOYSA-N,,0.28,,ONSchallenge,water,O,O=C(O)C(C)C,http://dx.doi.org/10.1021/ci800406y,,,,
